Organization Name,Main Category,Subcategories,Membership Duration
Counseling and Psychological Services,University Life,"Department, University Life",Lifetime
Counseling Graduate Program,Academic Departments,"Academic, Graduate Student Organization, Department",Lifetime
Craft Club at George Mason University,Registered Student Organizations,"Special Interest, Performing/Visual Arts, Campus Spirit",Lifetime
Create Reminiscent at Mason Korea,Registered Student Organizations at Mason Korea,"Performing/Visual Arts, Mason Korea Campus",Lifetime
Criminology Law and Society Student Association,Registered Student Organizations,"Academic, Graduate Student Organization",Lifetime
Critical & Productive Individuals at Mason Korea,Registered Student Organizations at Mason Korea,"Academic, Mason Korea Campus",Lifetime
Crochet For A Cause,Registered Student Organizations,"Volunteer/Service, Special Interest",Lifetime
Cru,Registered Student Organizations,Religious/Spiritual,Lifetime
Crux Climbing,Registered Student Organizations,"Special Interest, Health/Wellness, Sports",Lifetime
CS Graduate Student Association,Registered Student Organizations,Graduate Student Organization,Lifetime
CSSR's Urban Research Hub,Academic Departments,"Academic, Graduate Student Organization",Lifetime
Cubing Club,Registered Student Organizations,Special Interest,Lifetime
Culinary Club,Registered Student Organizations,"International/Multicultural, Special Interest, Health/Wellness, Campus Spirit",Lifetime
Cultural Studies Student Organizing Committee,Registered Student Organizations,"Academic, Graduate Student Organization",Lifetime
Cure Alliance for Mental Illness,Registered Student Organizations,"Special Interest, Health/Wellness",Lifetime
CVPA Office of Belonging and Inclusive Engagement+,Mason Centers/Affiliates,"Academic, International/Multicultural, Religious/Spiritual, Special Interest, Political/Activist, Health/Wellness, Performing/Visual Arts, Department, Campus Spirit, Mason Korea Campus",Lifetime
DanceWorks,Registered Student Organizations,"Special Interest, Performing/Visual Arts",Lifetime
DC-CAP Scholars,University Life,"Academic, Department",Lifetime
Delta Alpha Pi,Campus-Wide Organizations,Honor Society,Lifetime
Delta Kappa Alpha,Registered Student Organizations,"Special Interest, Performing/Visual Arts",Lifetime
Delta Sigma Theta Sorority Incorportated,Fraternity and Sorority Life,"Academic, National Pan-Hellenic Council, Campus Spirit",Lifetime
Democrats at Mason,Registered Student Organizations,"Special Interest, Political/Activist",Ends at Graduation
Department of Bioengineering at George Mason University,Academic Departments,"Academic, STEM, Department",Lifetime
Department of Communication,Academic Departments,Department,Lifetime
Department of Criminology Law and Society,Academic Departments,"Academic, Department, Fairfax Campus",Lifetime
Department of Global and Community Health,Academic Departments,Department,Ends at Graduation
Department of Health Administration and Policy,Academic Departments,"Academic, Department",Lifetime
Department of Nutrition and Food Studies,Academic Departments,"Academic, Health/Wellness, Department",Lifetime
Department of Religious Studies CHSS,Academic Departments,"Academic, Department",Lifetime
Department of Social Work,Academic Departments,"Academic, Volunteer/Service, Special Interest, Health/Wellness, Department, Computer/Technology",Lifetime
Department of Sociology & Anthropology,Academic Departments,Department,Lifetime
Dewberry Family School of Music,Academic Departments,"Academic, Performing/Visual Arts, Department",Lifetime
Dialogue Across Differences,University Life,Special Interest,Lifetime
