Organization Name,Main Category,Subcategories,Membership Duration
UX Volunteers,University Life,"Volunteer/Service, University Life",Lifetime
Vietnamese Student Association,Registered Student Organizations,International/Multicultural,Lifetime
Vipers at Mason Korea,Registered Student Organizations at Mason Korea,"Sports, Mason Korea Campus",Lifetime
Visiting Filmmakers Series,Academic Departments,"Political/Activist, Performing/Visual Arts, Fairfax Campus",Lifetime
Voice Acting Club,Registered Student Organizations,Performing/Visual Arts,Lifetime
Volition,Student Media,Media and Communications,Lifetime
Walk 'n' Talk Club,Registered Student Organizations,Campus Spirit,Lifetime
Warhammer Club,Registered Student Organizations,Special Interest,Lifetime
Watershed Lit: Center for Literary Engagement and Publishing Practice,Mason Centers/Affiliates,"Academic, Performing/Visual Arts, Media and Communications, Department",Lifetime
Wear Mason/Office of University Branding,Campus-Wide Organizations,"Department, Campus Spirit",Lifetime
Weather Club at George Mason University,Registered Student Organizations,STEM,Lifetime
Welcome2Mason,University Life,Campus Spirit,Lifetime
WGMU Radio,Student Media,Media and Communications,Lifetime
Women and Gender Studies,University Life,Department,Lifetime
Women in Business at Mason,Registered Student Organizations,"Academic, Special Interest",Lifetime
Women in Cyber Security at George Mason University,Registered Student Organizations,"Academic, STEM, Computer/Technology",Lifetime
Women in Diplomacy at George Mason University,Registered Student Organizations,"Academic, International/Multicultural, Political/Activist",Lifetime
Women in Tech,Registered Student Organizations,"Academic, STEM, Special Interest, Computer/Technology",Lifetime
Women of Color in STEM,Registered Student Organizations,"Academic, STEM, Computer/Technology",Lifetime
Women's Club Basketball,Club Sports,Sports,Lifetime
Women's Club Ice Hockey,Club Sports,Sports,Lifetime
Women's Club Lacrosse,Club Sports,"Health/Wellness, Sports",Lifetime
Women's Club Soccer,Club Sports,Sports,Lifetime
Women's Rugby Club,Club Sports,"Health/Wellness, Sports",Ends at Graduation
Women's Ultimate Frisbee,Club Sports,Sports,Lifetime
Women's Volleyball Club,Club Sports,Sports,Lifetime
Word by World,Registered Student Organizations,"Academic, STEM, Volunteer/Service, Special Interest, Computer/Technology",Lifetime
World Culture Student Association,Registered Student Organizations,International/Multicultural,Lifetime
YIMBY at Mason,Registered Student Organizations,"Special Interest, Political/Activist",Lifetime
Young Democratic Socialists of America,Registered Student Organizations,"Volunteer/Service, Special Interest, Political/Activist",Lifetime
YWAM City Lights,Registered Student Organizations,Religious/Spiritual,Lifetime
Zeta Phi Beta Sorority Incorporated,Fraternity and Sorority Life,National Pan-Hellenic Council,Lifetime
Zeta Psi,Fraternity and Sorority Life,Interfraternity Council,Lifetime
Zeta Tau Alpha,Fraternity and Sorority Life,"Panhellenic Council, Volunteer/Service",Lifetime
